DateTime,PAR (raw),PAR (CALC),,serial #,478
6/25/2021 19:57,8902,49.17978961,,,
6/25/2021 19:57,8896,48.94476218,,,
6/25/2021 19:57,8901,49.14054014,,,
6/25/2021 19:57,8917,49.77230755,,,
6/25/2021 19:57,8908,49.41594561,,,
6/25/2021 19:57,8901,49.14054014,,,
6/25/2021 19:57,8892,48.78870155,,,
6/25/2021 19:57,8894,48.86666957,,,
6/25/2021 20:02,8250,29.22212341,,,
6/25/2021 20:02,8276,29.83506766,,,
6/25/2021 20:02,8293,30.24277357,,,
6/25/2021 20:02,8300,30.41226754,,,
6/25/2021 20:02,8314,30.75411056,,,
6/25/2021 20:02,8315,30.77867444,,,
6/25/2021 20:02,8314,30.75411056,,,
6/25/2021 20:02,8327,31.07497584,,,
6/25/2021 20:02,8325,31.02539492,,,
6/25/2021 20:02,8329,31.12463599,,,
6/25/2021 20:07,9256,65.24283922,,,
6/25/2021 20:07,9262,65.55612824,,,
6/25/2021 20:07,9253,65.08675661,,,
6/25/2021 20:07,9264,65.66089187,,,
6/25/2021 20:07,9281,66.55816933,,,
6/25/2021 20:07,9286,66.82440053,,,
6/25/2021 20:07,9281,66.55816933,,,
6/25/2021 20:07,9258,65.34710219,,,
6/25/2021 20:07,9262,65.55612824,,,
6/25/2021 20:07,9258,65.34710219,,,
6/25/2021 20:12,8731,42.9036279,,,
6/25/2021 20:12,8736,43.07524146,,,
6/25/2021 20:12,8738,43.14407893,,,
6/25/2021 20:12,8739,43.17853891,,,
6/25/2021 20:12,8733,42.97219112,,,
6/25/2021 20:12,8735,43.04086392,,,
6/25/2021 20:12,8743,43.31665429,,,
6/25/2021 20:12,8736,43.07524146,,,
6/25/2021 20:12,8734,43.00651381,,,
6/25/2021 20:12,8738,43.14407893,,,
6/25/2021 20:17,8300,30.41226754,,,
6/25/2021 20:17,8296,30.31529787,,,
6/25/2021 20:17,8302,30.46086863,,,
6/25/2021 20:17,8296,30.31529787,,,
6/25/2021 20:17,8289,30.14634433,,,
6/25/2021 20:17,8284,30.02624004,,,
6/25/2021 20:17,8282,29.97833241,,,
6/25/2021 20:17,8280,29.93050122,,,
6/25/2021 20:17,8282,29.97833241,,,
6/25/2021 20:17,8277,29.85889748,,,
6/25/2021 20:22,7864,21.47187075,,,
6/25/2021 20:22,7866,21.50618441,,,
6/25/2021 20:22,7870,21.57497634,,,
6/25/2021 20:22,7868,21.54055291,,,
6/25/2021 20:22,7864,21.47187075,,,
6/25/2021 20:22,7865,21.48902073,,,
6/25/2021 20:22,7867,21.5233618,,,
6/25/2021 20:22,7870,21.57497634,,,
6/25/2021 20:22,7872,21.60945477,,,
6/25/2021 20:22,7874,21.64398831,,,
6/25/2021 20:27,8009,24.10722808,,,
6/25/2021 20:27,8009,24.10722808,,,
6/25/2021 20:27,8002,23.97287342,,,
6/25/2021 20:27,7994,23.82024188,,,
6/25/2021 20:27,7991,23.76325592,,,
6/25/2021 20:27,7990,23.74429091,,,
6/25/2021 20:27,7996,23.85830842,,,
6/25/2021 20:27,7987,23.68748666,,,
6/25/2021 20:27,7980,23.55547131,,,
6/25/2021 20:27,7963,23.2379176,,,
6/25/2021 20:32,8716,42.39287864,,,
6/25/2021 20:32,8712,42.25770872,,,
6/25/2021 20:32,8696,41.72132525,,,
6/25/2021 20:32,8703,41.95515013,,,
6/25/2021 20:32,8700,41.85477943,,,
6/25/2021 20:32,8690,41.5219414,,,
6/25/2021 20:32,8678,41.12602769,,,
6/25/2021 20:32,8665,40.70138008,,,
6/25/2021 20:32,8659,40.50687049,,,
6/25/2021 20:32,8662,40.60400881,,,
6/25/2021 20:37,8929,50.25145762,,,
6/25/2021 20:37,8918,49.81206162,,,
6/25/2021 20:37,8917,49.77230755,,,
6/25/2021 20:37,8918,49.81206162,,,
6/25/2021 20:37,8936,50.53308917,,,
6/25/2021 20:37,8931,50.33176323,,,
6/25/2021 20:37,8925,50.09123059,,,
6/25/2021 20:37,8922,49.97139567,,,
6/25/2021 20:37,8915,49.69289457,,,
6/25/2021 20:37,8916,49.73258521,,,
6/25/2021 20:42,8934,50.45246234,,,
6/25/2021 20:42,8937,50.57345089,,,
6/25/2021 20:42,8937,50.57345089,,,
6/25/2021 20:42,8937,50.57345089,,,
6/25/2021 20:42,8938,50.61384484,,,
6/25/2021 20:42,8935,50.49275966,,,
6/25/2021 20:42,8941,50.7352204,,,
6/25/2021 20:42,8941,50.7352204,,,
6/25/2021 20:42,8935,50.49275966,,,
6/25/2021 20:42,8940,50.69472958,,,
6/25/2021 20:47,9268,65.87092164,,,
6/25/2021 20:47,9286,66.82440053,,,
6/25/2021 20:47,9291,67.09169664,,,
6/25/2021 20:47,9297,67.41386368,,,
6/25/2021 20:47,9306,67.90001719,,,
6/25/2021 20:47,9306,67.90001719,,,
6/25/2021 20:47,9300,67.57552686,,,
6/25/2021 20:47,9301,67.62950069,,,
6/25/2021 20:47,9303,67.73757772,,,
6/25/2021 20:47,9303,67.73757772,,,
6/25/2021 20:52,9341,69.82417396,,,
6/25/2021 20:52,9342,69.87994382,,,
6/25/2021 20:52,9334,69.43502914,,,
6/25/2021 20:52,9329,69.15839709,,,
6/25/2021 20:52,9336,69.54599154,,,
6/25/2021 20:52,9346,70.1034691,,,
6/25/2021 20:52,9349,70.27158214,,,
6/25/2021 20:52,9327,69.0480531,,,
6/25/2021 20:52,9320,68.66323377,,,
6/25/2021 20:52,9337,69.60153921,,,
6/25/2021 20:57,9197,62.24079836,,,
6/25/2021 20:57,9200,62.39005616,,,
6/25/2021 20:57,9210,62.89017207,,,
6/25/2021 20:57,9196,62.19112515,,,
6/25/2021 20:57,9195,62.14149158,,,
6/25/2021 20:57,9192,61.99282842,,,
6/25/2021 20:57,9200,62.39005616,,,
6/25/2021 20:57,9202,62.48976017,,,
6/25/2021 20:57,9199,62.34026383,,,
6/25/2021 20:57,9197,62.24079836,,,
6/25/2021 21:02,9264,65.66089187,,,
6/25/2021 21:02,9259,65.39929614,,,
6/25/2021 21:02,9261,65.50380913,,,
6/25/2021 21:02,9271,66.02888474,,,
6/25/2021 21:02,9273,66.13440386,,,
6/25/2021 21:02,9272,66.08162324,,,
6/25/2021 21:02,9270,65.97618833,,,
6/25/2021 21:02,9272,66.08162324,,,
6/25/2021 21:02,9268,65.87092164,,,
6/25/2021 21:02,9277,66.34594826,,,
6/25/2021 21:07,9689,92.18739618,,,
6/25/2021 21:07,9721,94.57301813,,,
6/25/2021 21:07,9715,94.12105904,,,
6/25/2021 21:07,9738,95.86538921,,,
6/25/2021 21:07,9725,94.87552925,,,
6/25/2021 21:07,9733,95.4834575,,,
6/25/2021 21:07,9723,94.72415292,,,
6/25/2021 21:07,9687,92.04030885,,,
6/25/2021 21:07,9673,91.01724765,,,
6/25/2021 21:07,9643,88.86310402,,,
6/25/2021 21:12,9662,90.2213978,,,
6/25/2021 21:12,9686,91.96685321,,,
6/25/2021 21:12,9658,89.93372641,,,
6/25/2021 21:12,9650,89.36113242,,,
6/25/2021 21:12,9625,87.59516756,,,
6/25/2021 21:12,9631,88.01579003,,,
6/25/2021 21:12,9644,88.93408064,,,
6/25/2021 21:12,9726,94.9513081,,,
6/25/2021 21:12,9751,96.86557663,,,
6/25/2021 21:12,9777,98.89736596,,,
6/25/2021 21:17,9791,100.0090021,,,
