Date,Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2021-06-23,15:20:00.000,69.06,186.65,-68.59,-7.99
2021-06-23,15:25:00.000,69.06,186.65,-68.59,-8.00
2021-06-23,15:30:00.000,69.06,186.89,-68.56,-8.29
2021-06-23,15:35:00.000,69.06,186.54,-68.61,-7.86
2021-06-23,15:40:00.000,69.06,186.85,-68.57,-8.24
2021-06-23,15:45:00.000,69.05,186.91,-68.55,-8.31
2021-06-23,15:50:00.000,69.05,186.86,-68.56,-8.25
2021-06-23,15:55:00.000,69.05,186.65,-68.59,-8.00
2021-06-23,16:00:00.000,69.05,186.77,-68.57,-8.14
2021-06-23,16:05:00.000,69.05,186.63,-68.59,-7.98
2021-06-23,16:10:00.000,69.05,186.59,-68.60,-7.92
2021-06-23,16:15:00.000,69.05,186.74,-68.58,-8.11
2021-06-23,16:20:00.000,69.06,187.27,-68.51,-8.74
2021-06-23,16:25:00.000,69.09,181.72,-69.05,-2.07
2021-06-23,16:30:00.000,69.09,181.60,-69.06,-1.93
2021-06-23,16:35:00.000,69.08,181.57,-69.06,-1.89
2021-06-23,16:40:00.000,69.08,181.34,-69.06,-1.61
2021-06-23,16:45:00.000,69.08,181.10,-69.07,-1.32
2021-06-23,16:50:00.000,69.08,181.00,-69.07,-1.21
2021-06-23,16:55:00.000,69.08,181.07,-69.07,-1.29
2021-06-23,17:00:00.000,69.09,181.86,-69.05,-2.24
2021-06-23,17:05:00.000,69.08,181.93,-69.04,-2.33
2021-06-23,17:10:00.000,69.08,181.81,-69.05,-2.18
2021-06-23,17:15:00.000,69.08,185.15,-68.81,-6.21
2021-06-23,17:20:00.000,69.08,189.48,-68.13,-11.38
2021-06-23,17:25:00.000,69.08,189.52,-68.12,-11.42
2021-06-23,17:30:00.000,69.13,11.76,67.68,14.09
2021-06-23,17:35:00.000,69.12,12.17,67.57,14.57
2021-06-23,17:40:00.000,69.12,12.14,67.58,14.54
2021-06-23,17:45:00.000,69.12,12.39,67.51,14.82
2021-06-23,17:50:00.000,69.12,12.45,67.49,14.90
2021-06-23,17:55:00.000,69.13,12.35,67.53,14.78
2021-06-23,18:00:00.000,69.12,12.62,67.45,15.11
2021-06-23,18:05:00.000,69.24,19.70,65.18,23.34
2021-06-23,18:10:00.000,69.24,16.91,66.25,20.14
2021-06-23,18:15:00.000,69.24,16.50,66.39,19.66
2021-06-23,18:20:00.000,69.45,321.46,54.32,-43.27
2021-06-23,18:25:00.000,69.33,321.81,54.49,-42.87
2021-06-23,18:30:00.000,69.33,321.99,54.62,-42.70
2021-06-23,18:35:00.000,69.33,322.10,54.70,-42.59
2021-06-23,18:40:00.000,69.33,322.16,54.75,-42.53
2021-06-23,18:45:00.000,69.33,322.03,54.65,-42.66
2021-06-23,18:50:00.000,69.33,322.16,54.75,-42.53
2021-06-23,18:55:00.000,69.33,322.12,54.73,-42.57
2021-06-23,19:00:00.000,69.33,322.19,54.77,-42.51
2021-06-23,19:05:00.000,69.33,322.41,54.94,-42.29
2021-06-23,19:10:00.000,69.33,322.41,54.94,-42.29
2021-06-23,19:15:00.000,68.82,9.90,67.79,11.83
2021-06-23,19:20:00.000,68.85,9.45,67.92,11.30
2021-06-23,19:25:00.000,68.85,9.32,67.94,11.16
2021-06-23,19:30:00.000,68.86,9.42,67.93,11.26
2021-06-23,19:35:00.000,68.86,9.40,67.93,11.25
2021-06-23,19:40:00.000,68.85,9.42,67.92,11.27
2021-06-23,19:45:00.000,68.85,9.52,67.90,11.39
2021-06-23,19:50:00.000,68.85,9.37,67.93,11.20
2021-06-23,19:55:00.000,68.85,9.46,67.92,11.32
2021-06-23,20:00:00.000,68.85,9.43,67.92,11.28
2021-06-23,20:05:00.000,68.85,9.45,67.92,11.31
2021-06-23,20:10:00.000,68.85,9.47,67.91,11.33
2021-06-23,20:15:00.000,68.85,9.52,67.90,11.39
2021-06-23,20:20:00.000,68.85,9.56,67.89,11.44
2021-06-23,20:25:00.000,68.84,9.62,67.88,11.50
2021-06-23,20:30:00.000,68.85,9.50,67.91,11.36
2021-06-23,20:35:00.000,68.85,9.50,67.91,11.37
2021-06-23,20:40:00.000,68.85,9.50,67.91,11.36
2021-06-23,20:45:00.000,68.85,9.57,67.89,11.45
2021-06-23,20:50:00.000,68.84,9.61,67.88,11.50
2021-06-23,20:55:00.000,68.85,9.57,67.89,11.45
2021-06-23,21:00:00.000,68.85,9.44,67.92,11.29
2021-06-23,21:05:00.000,68.85,9.48,67.91,11.34
2021-06-23,21:10:00.000,68.85,9.52,67.90,11.38
2021-06-23,21:15:00.000,68.85,9.57,67.89,11.45
2021-06-23,21:20:00.000,68.85,9.60,67.88,11.49
2021-06-23,21:25:00.000,68.85,9.66,67.87,11.55
2021-06-23,21:30:00.000,68.85,9.64,67.87,11.53
2021-06-23,21:35:00.000,68.85,9.56,67.89,11.44
2021-06-23,21:40:00.000,68.85,9.52,67.90,11.38
2021-06-23,21:45:00.000,68.85,9.54,67.90,11.41
2021-06-23,21:50:00.000,68.85,9.56,67.89,11.43
2021-06-23,21:55:00.000,68.85,9.62,67.88,11.51
2021-06-23,22:00:00.000,68.85,9.61,67.88,11.50
2021-06-23,22:05:00.000,68.84,9.58,67.88,11.46
2021-06-23,22:10:00.000,68.85,9.54,67.90,11.41
2021-06-23,22:15:00.000,68.85,9.52,67.90,11.38
2021-06-23,22:20:00.000,68.85,9.51,67.90,11.37
2021-06-23,22:25:00.000,68.85,9.53,67.90,11.40
2021-06-23,22:30:00.000,68.85,9.57,67.89,11.45
2021-06-23,22:35:00.000,68.85,9.61,67.88,11.49
2021-06-23,22:40:00.000,68.85,9.56,67.89,11.43
2021-06-23,22:45:00.000,68.85,9.47,67.91,11.32
2021-06-23,22:50:00.000,68.84,9.51,67.90,11.37
2021-06-23,22:55:00.000,68.84,9.70,67.86,11.60
2021-06-23,23:00:00.000,68.85,9.53,67.90,11.39
2021-06-23,23:05:00.000,68.85,9.56,67.89,11.44
2021-06-23,23:10:00.000,68.85,9.56,67.89,11.44
2021-06-23,23:15:00.000,68.85,9.55,67.89,11.43
2021-06-23,23:20:00.000,68.85,9.55,67.90,11.42
2021-06-23,23:25:00.000,68.85,9.64,67.87,11.53
2021-06-23,23:30:00.000,68.85,9.50,67.90,11.37
2021-06-23,23:35:00.000,68.85,9.54,67.89,11.41
2021-06-23,23:40:00.000,68.84,9.64,67.87,11.52
2021-06-23,23:45:00.000,68.85,9.66,67.87,11.55
2021-06-23,23:50:00.000,68.85,9.56,67.90,11.43
2021-06-23,23:55:00.000,68.85,9.53,67.90,11.40
2021-06-24,00:00:00.000,68.85,9.51,67.91,11.37
2021-06-24,00:05:00.000,68.85,9.57,67.89,11.45
2021-06-24,00:10:00.000,68.85,9.52,67.90,11.38
2021-06-24,00:15:00.000,68.85,9.64,67.88,11.53
2021-06-24,00:20:00.000,68.85,9.50,67.91,11.36
2021-06-24,00:25:00.000,68.85,9.67,67.87,11.57
2021-06-24,00:30:00.000,68.85,9.55,67.89,11.42
2021-06-24,00:35:00.000,68.85,9.64,67.88,11.53
2021-06-24,00:40:00.000,68.85,9.67,67.87,11.56
2021-06-24,00:45:00.000,68.85,9.60,67.89,11.48
2021-06-24,00:50:00.000,68.85,9.50,67.91,11.37
2021-06-24,00:55:00.000,68.86,9.51,67.91,11.38
2021-06-24,01:00:00.000,68.86,9.53,67.91,11.40
2021-06-24,01:05:00.000,68.85,9.55,67.90,11.42
2021-06-24,01:10:00.000,68.85,9.57,67.90,11.45
2021-06-24,01:15:00.000,68.85,9.63,67.88,11.52
2021-06-24,01:20:00.000,68.85,9.58,67.89,11.46
2021-06-24,01:25:00.000,68.85,9.54,67.90,11.41
2021-06-24,01:30:00.000,68.85,9.61,67.88,11.50
2021-06-24,01:35:00.000,68.85,9.50,67.91,11.36
2021-06-24,01:40:00.000,68.85,9.69,67.87,11.58
2021-06-24,01:45:00.000,68.85,9.67,67.87,11.56
2021-06-24,01:50:00.000,68.85,9.66,67.87,11.55
2021-06-24,01:55:00.000,68.85,9.56,67.90,11.43
2021-06-24,02:00:00.000,68.85,9.52,67.91,11.38
2021-06-24,02:05:00.000,68.85,9.46,67.92,11.31
2021-06-24,02:10:00.000,68.85,9.51,67.91,11.38
2021-06-24,02:15:00.000,68.85,9.55,67.90,11.42
2021-06-24,02:20:00.000,68.85,9.50,67.91,11.37
2021-06-24,02:25:00.000,68.85,9.54,67.90,11.41
2021-06-24,02:30:00.000,68.85,9.57,67.89,11.44
2021-06-24,02:35:00.000,68.85,9.53,67.90,11.39
2021-06-24,02:40:00.000,68.85,9.67,67.87,11.57
2021-06-24,02:45:00.000,68.85,9.52,67.90,11.39
2021-06-24,02:50:00.000,68.85,9.54,67.90,11.41
2021-06-24,02:55:00.000,68.85,9.67,67.87,11.57
2021-06-24,03:00:00.000,68.85,9.54,67.90,11.41
2021-06-24,03:05:00.000,68.85,9.50,67.91,11.36
2021-06-24,03:10:00.000,68.85,9.54,67.90,11.41
2021-06-24,03:15:00.000,68.86,9.43,67.93,11.28
2021-06-24,03:20:00.000,68.85,9.50,67.91,11.37
2021-06-24,03:25:00.000,68.85,9.52,67.91,11.38
2021-06-24,03:30:00.000,68.85,9.50,67.91,11.37
2021-06-24,03:35:00.000,68.85,9.58,67.89,11.46
2021-06-24,03:40:00.000,68.85,9.51,67.91,11.37
2021-06-24,03:45:00.000,68.85,9.64,67.88,11.53
2021-06-24,03:50:00.000,68.85,9.56,67.90,11.44
2021-06-24,03:55:00.000,68.85,9.54,67.90,11.41
2021-06-24,04:00:00.000,68.85,9.67,67.87,11.56
2021-06-24,04:05:00.000,68.85,9.63,67.88,11.52
2021-06-24,04:10:00.000,68.85,9.52,67.90,11.39
2021-06-24,04:15:00.000,68.85,9.49,67.91,11.35
2021-06-24,04:20:00.000,68.85,9.50,67.91,11.37
2021-06-24,04:25:00.000,68.85,9.46,67.92,11.32
2021-06-24,04:30:00.000,68.85,9.54,67.90,11.41
2021-06-24,04:35:00.000,68.85,9.49,67.91,11.35
2021-06-24,04:40:00.000,68.85,9.53,67.90,11.40
2021-06-24,04:45:00.000,68.85,9.54,67.90,11.42
2021-06-24,04:50:00.000,68.85,9.60,67.89,11.49
2021-06-24,04:55:00.000,68.85,9.53,67.90,11.40
2021-06-24,05:00:00.000,68.85,9.57,67.89,11.45
2021-06-24,05:05:00.000,68.85,9.58,67.89,11.46
2021-06-24,05:10:00.000,68.85,9.51,67.91,11.38
2021-06-24,05:15:00.000,68.86,9.43,67.92,11.29
2021-06-24,05:20:00.000,68.85,9.49,67.91,11.36
2021-06-24,05:25:00.000,68.85,9.45,67.92,11.30
2021-06-24,05:30:00.000,68.85,9.46,67.92,11.32
2021-06-24,05:35:00.000,68.86,9.54,67.90,11.41
2021-06-24,05:40:00.000,68.85,9.52,67.91,11.39
2021-06-24,05:45:00.000,68.85,9.57,67.90,11.44
2021-06-24,05:50:00.000,68.85,9.53,67.90,11.40
2021-06-24,05:55:00.000,68.85,9.56,67.89,11.43
2021-06-24,06:00:00.000,68.85,9.57,67.89,11.44
2021-06-24,06:05:00.000,68.85,9.46,67.92,11.31
2021-06-24,06:10:00.000,68.86,9.42,67.93,11.27
2021-06-24,06:15:00.000,68.86,9.49,67.91,11.35
2021-06-24,06:20:00.000,68.86,9.43,67.92,11.29
2021-06-24,06:25:00.000,68.85,9.46,67.92,11.32
2021-06-24,06:30:00.000,68.85,9.50,67.91,11.36
2021-06-24,06:35:00.000,68.85,9.46,67.92,11.31
2021-06-24,06:40:00.000,68.85,9.49,67.91,11.35
2021-06-24,06:45:00.000,68.85,9.46,67.91,11.32
2021-06-24,06:50:00.000,68.85,9.52,67.90,11.39
2021-06-24,06:55:00.000,68.85,9.50,67.91,11.36
2021-06-24,07:00:00.000,68.85,9.35,67.94,11.18
2021-06-24,07:05:00.000,68.85,9.45,67.92,11.30
2021-06-24,07:10:00.000,68.85,9.40,67.93,11.25
2021-06-24,07:15:00.000,68.85,9.45,67.92,11.30
2021-06-24,07:20:00.000,68.85,9.45,67.92,11.31
2021-06-24,07:25:00.000,68.85,9.44,67.92,11.29
2021-06-24,07:30:00.000,68.85,9.47,67.91,11.33
2021-06-24,07:35:00.000,68.85,9.46,67.92,11.32
2021-06-24,07:40:00.000,68.85,9.49,67.91,11.35
2021-06-24,07:45:00.000,68.85,9.54,67.90,11.41
2021-06-24,07:50:00.000,68.85,9.51,67.91,11.38
2021-06-24,07:55:00.000,68.85,9.39,67.93,11.23
2021-06-24,08:00:00.000,68.86,9.47,67.92,11.33
2021-06-24,08:05:00.000,68.86,9.34,67.94,11.18
2021-06-24,08:10:00.000,68.86,9.44,67.92,11.29
2021-06-24,08:15:00.000,68.85,9.37,67.94,11.21
2021-06-24,08:20:00.000,68.86,9.43,67.92,11.29
2021-06-24,08:25:00.000,68.86,9.46,67.92,11.31
2021-06-24,08:30:00.000,68.85,9.44,67.92,11.29
2021-06-24,08:35:00.000,68.85,9.45,67.92,11.30
2021-06-24,08:40:00.000,68.85,9.46,67.92,11.31
2021-06-24,08:45:00.000,68.85,9.49,67.91,11.36
2021-06-24,08:50:00.000,68.85,9.53,67.90,11.40
2021-06-24,08:55:00.000,68.85,9.46,67.92,11.32
2021-06-24,09:00:00.000,68.85,9.53,67.90,11.40
2021-06-24,09:05:00.000,68.86,9.54,67.90,11.42
2021-06-24,09:10:00.000,68.85,9.57,67.89,11.44
2021-06-24,09:15:00.000,68.85,9.49,67.91,11.35
2021-06-24,09:20:00.000,68.85,9.54,67.90,11.41
2021-06-24,09:25:00.000,68.85,9.60,67.88,11.48
2021-06-24,09:30:00.000,68.85,9.50,67.91,11.37
2021-06-24,09:35:00.000,68.86,9.39,67.93,11.24
2021-06-24,09:40:00.000,68.85,9.42,67.93,11.27
2021-06-24,09:45:00.000,68.86,9.44,67.92,11.30
2021-06-24,09:50:00.000,68.86,9.44,67.92,11.29
2021-06-24,09:55:00.000,68.86,9.46,67.92,11.32
2021-06-24,10:00:00.000,68.85,9.44,67.92,11.29
2021-06-24,10:05:00.000,68.86,9.48,67.92,11.34
2021-06-24,10:10:00.000,68.85,9.44,67.92,11.29
2021-06-24,10:15:00.000,68.85,9.55,67.90,11.42
2021-06-24,10:20:00.000,68.85,9.53,67.90,11.40
2021-06-24,10:25:00.000,68.85,9.44,67.92,11.30
2021-06-24,10:30:00.000,68.85,9.50,67.91,11.36
2021-06-24,10:35:00.000,68.85,9.59,67.89,11.47
2021-06-24,10:40:00.000,68.85,9.53,67.90,11.40
2021-06-24,10:45:00.000,68.85,9.51,67.91,11.37
2021-06-24,10:50:00.000,68.85,9.54,67.90,11.41
2021-06-24,10:55:00.000,68.85,9.54,67.90,11.41
2021-06-24,11:00:00.000,68.85,9.59,67.89,11.47
2021-06-24,11:05:00.000,68.85,9.57,67.89,11.45
2021-06-24,11:10:00.000,68.85,9.61,67.89,11.50
2021-06-24,11:15:00.000,68.85,9.58,67.89,11.46
2021-06-24,11:20:00.000,68.85,9.54,67.90,11.41
2021-06-24,11:25:00.000,68.85,9.53,67.90,11.40
2021-06-24,11:30:00.000,68.85,9.60,67.89,11.48
2021-06-24,11:35:00.000,68.85,9.63,67.88,11.52
2021-06-24,11:40:00.000,68.85,9.55,67.90,11.42
2021-06-24,11:45:00.000,68.86,9.48,67.92,11.34
2021-06-24,11:50:00.000,68.85,9.44,67.92,11.30
2021-06-24,11:55:00.000,68.85,9.51,67.91,11.37
2021-06-24,12:00:00.000,68.86,9.47,67.92,11.33
