"UTCDateTime","Temperature"
2021-06-29 01:04:59,28.3283
2021-06-29 01:09:59,28.3237
2021-06-29 01:14:59,28.3259
2021-06-29 01:19:59,28.3232
2021-06-29 01:24:59,28.3196
2021-06-29 01:29:59,28.3172
2021-06-29 01:34:59,28.3104
2021-06-29 01:39:59,28.3073
2021-06-29 01:44:59,28.3042
2021-06-29 01:49:59,28.2996
2021-06-29 01:54:59,28.2968
2021-06-29 01:59:59,28.3044
2021-06-29 02:04:59,28.3078
2021-06-29 02:09:59,28.3096
2021-06-29 02:14:59,28.3141
2021-06-29 02:19:59,28.3223
2021-06-29 02:24:59,28.3233
2021-06-29 02:29:59,28.3262
2021-06-29 02:34:59,28.3258
2021-06-29 02:39:59,28.3225
2021-06-29 02:44:59,28.3135
2021-06-29 02:49:59,28.3084
2021-06-29 02:54:59,28.313
2021-06-29 02:59:59,28.2902
2021-06-29 03:04:59,28.2033
2021-06-29 03:09:59,28.1172
2021-06-29 03:14:59,28.0652
2021-06-29 03:19:59,28.0441
2021-06-29 03:24:59,28.0586
2021-06-29 03:29:59,28.0762
2021-06-29 03:34:59,28.0804
2021-06-29 03:39:59,28.0673
2021-06-29 03:44:59,28.0451
2021-06-29 03:49:59,28.0184
2021-06-29 03:54:59,28.0083
2021-06-29 03:59:59,28.0066
2021-06-29 04:04:59,28.0137
2021-06-29 04:09:59,28.0185
2021-06-29 04:14:59,28.0331
2021-06-29 04:19:59,28.0479
2021-06-29 04:24:59,28.0606
2021-06-29 04:29:59,28.0736
2021-06-29 04:34:59,28.0865
2021-06-29 04:39:59,28.0976
2021-06-29 04:44:59,28.1068
2021-06-29 04:49:59,28.1131
2021-06-29 04:54:59,28.1152
2021-06-29 04:59:59,28.1194
2021-06-29 05:04:59,28.1177
2021-06-29 05:09:59,28.1215
2021-06-29 05:14:59,28.1269
2021-06-29 05:19:59,28.1268
2021-06-29 05:24:59,28.1243
2021-06-29 05:29:59,28.1295
2021-06-29 05:34:59,28.1315
2021-06-29 05:39:59,28.1336
2021-06-29 05:44:59,28.1297
2021-06-29 05:49:59,28.1264
2021-06-29 05:54:59,28.1261
2021-06-29 05:59:59,28.123
2021-06-29 06:04:59,28.1209
2021-06-29 06:09:59,28.1226
2021-06-29 06:14:59,28.1168
2021-06-29 06:19:59,28.112
2021-06-29 06:24:59,28.1011
2021-06-29 06:29:59,28.1003
2021-06-29 06:34:59,28.1
2021-06-29 06:39:59,28.1001
2021-06-29 06:44:59,28.1014
2021-06-29 06:49:59,28.0973
2021-06-29 06:54:59,28.0939
2021-06-29 06:59:59,28.0904
2021-06-29 07:04:59,28.0908
2021-06-29 07:09:59,28.0863
2021-06-29 07:14:59,28.0757
2021-06-29 07:19:59,28.0703
2021-06-29 07:24:59,28.0725
2021-06-29 07:29:59,28.0673
2021-06-29 07:34:59,28.0694
2021-06-29 07:39:59,28.0679
2021-06-29 07:44:59,28.0698
2021-06-29 07:49:59,28.0708
2021-06-29 07:54:59,28.0739
2021-06-29 07:59:59,28.0712
2021-06-29 08:04:59,28.0847
2021-06-29 08:09:59,28.0968
2021-06-29 08:14:59,28.1266
2021-06-29 08:19:59,28.1461
2021-06-29 08:24:59,28.1579
2021-06-29 08:29:59,28.1722
2021-06-29 08:34:59,28.183
2021-06-29 08:39:59,28.1896
2021-06-29 08:44:59,28.1932
2021-06-29 08:49:59,28.1985
2021-06-29 08:54:59,28.2013
2021-06-29 08:59:59,28.2007
2021-06-29 09:04:59,28.2046
2021-06-29 09:09:59,28.2039
2021-06-29 09:14:59,28.2013
2021-06-29 09:19:59,28.1997
2021-06-29 09:24:59,28.1936
2021-06-29 09:29:59,28.1839
2021-06-29 09:34:59,28.1749
2021-06-29 09:39:59,28.1658
2021-06-29 09:44:59,28.156
2021-06-29 09:49:59,28.1476
2021-06-29 09:54:59,28.1487
2021-06-29 09:59:59,28.1496
2021-06-29 10:04:59,28.1525
2021-06-29 10:09:59,28.1559
2021-06-29 10:14:59,28.1577
2021-06-29 10:19:59,28.1649
2021-06-29 10:24:59,28.1713
2021-06-29 10:29:59,28.1746
2021-06-29 10:34:59,28.1767
2021-06-29 10:39:59,28.1767
2021-06-29 10:44:59,28.1762
2021-06-29 10:49:59,28.1714
2021-06-29 10:54:59,28.1627
2021-06-29 10:59:59,28.1563
2021-06-29 11:04:59,28.1473
2021-06-29 11:09:59,28.141
2021-06-29 11:14:59,28.1357
2021-06-29 11:19:59,28.1362
2021-06-29 11:24:59,28.1314
2021-06-29 11:29:59,28.1331
2021-06-29 11:34:59,28.1277
2021-06-29 11:39:59,28.1268
2021-06-29 11:44:59,28.1239
2021-06-29 11:49:59,28.1185
2021-06-29 11:54:59,28.1158
2021-06-29 11:59:59,28.1109
2021-06-29 12:04:59,28.1115
2021-06-29 12:09:59,28.1086
2021-06-29 12:14:59,28.1045
2021-06-29 12:19:59,28.0989
2021-06-29 12:24:59,28.0945
2021-06-29 12:29:59,28.0959
2021-06-29 12:34:59,28.0935
2021-06-29 12:39:59,28.0948
2021-06-29 12:44:59,28.0951
2021-06-29 12:49:59,28.0994
2021-06-29 12:54:59,28.0996
2021-06-29 12:59:59,28.0998
2021-06-29 13:04:59,28.104
2021-06-29 13:09:59,28.1099
2021-06-29 13:14:59,28.1167
2021-06-29 13:19:59,28.1242
2021-06-29 13:24:59,28.1352
2021-06-29 13:29:59,28.1408
2021-06-29 13:34:59,28.1473
2021-06-29 13:39:59,28.1518
2021-06-29 13:44:59,28.1608
2021-06-29 13:49:59,28.1732
2021-06-29 13:54:59,28.18
2021-06-29 13:59:59,28.1893
2021-06-29 14:04:59,28.194
2021-06-29 14:09:59,28.199
2021-06-29 14:14:59,28.2074
2021-06-29 14:19:59,28.215
2021-06-29 14:24:59,28.218
2021-06-29 14:29:59,28.227
2021-06-29 14:34:59,28.2356
2021-06-29 14:39:59,28.2437
2021-06-29 14:44:59,28.2514
2021-06-29 14:49:59,28.2541
2021-06-29 14:54:59,28.2588
2021-06-29 14:59:59,28.2641
2021-06-29 15:04:59,28.2691
2021-06-29 15:09:59,28.274
2021-06-29 15:14:59,28.2798
2021-06-29 15:19:59,28.2867
2021-06-29 15:24:59,28.2922
2021-06-29 15:29:59,28.2967
2021-06-29 15:34:59,28.3038
2021-06-29 15:39:59,28.3163
2021-06-29 15:44:59,28.3248
2021-06-29 15:49:59,28.3363
2021-06-29 15:54:59,28.3446
2021-06-29 15:59:59,28.3516
2021-06-29 16:04:59,28.3637
2021-06-29 16:09:59,28.3772
2021-06-29 16:14:59,28.39
2021-06-29 16:19:59,28.392
2021-06-29 16:24:59,28.3985
2021-06-29 16:29:59,28.4027
2021-06-29 16:34:59,28.4119
2021-06-29 16:39:59,28.418
2021-06-29 16:44:59,28.4269
2021-06-29 16:49:59,28.4418
2021-06-29 16:54:59,28.4501
2021-06-29 16:59:59,28.4498
2021-06-29 17:04:59,28.4611
2021-06-29 17:09:59,28.4699
2021-06-29 17:14:59,28.4791
2021-06-29 17:19:59,28.4898
2021-06-29 17:24:59,28.4964
2021-06-29 17:29:59,28.5047
2021-06-29 17:34:59,28.5098
2021-06-29 17:39:59,28.521
2021-06-29 17:44:59,28.5269
2021-06-29 17:49:59,28.5307
2021-06-29 17:54:59,28.5375
2021-06-29 17:59:59,28.536
2021-06-29 18:04:59,28.5205
2021-06-29 18:09:59,28.5066
2021-06-29 18:14:59,28.5001
2021-06-29 18:19:59,28.5183
2021-06-29 18:24:59,28.5131
2021-06-29 18:29:59,28.5195
2021-06-29 18:34:59,28.5123
